,loss_train,loss_val
0,2134728114176.0,2.979056934183724e+23
1,3.0152067879606717e+23,9.332378851085512e+21
2,9.496077379191035e+21,4326.34716796875
3,2558.012451171875,7560.45361328125
4,7534.7216796875,1193.7152099609375
5,3662.1484375,225.87652587890625
6,293.30364990234375,220.12278747558594
7,223.0012969970703,215.2576904296875
8,218.11326599121094,211.10140991210938
9,213.93687438964844,207.52122497558594
10,210.33872985839844,204.41622924804688
11,207.21743774414062,2485.451171875
12,3296.88916015625,199.33425903320312
13,202.108154296875,197.2451171875
14,200.0072021484375,195.39971923828125
15,198.1511688232422,193.7644805908203
16,196.50624084472656,192.31137084960938
17,195.04437255859375,191.0169219970703
18,193.74195861816406,189.8612518310547
19,192.5790557861328,188.82749938964844
20,191.5386962890625,187.90113830566406
21,190.60638427734375,187.06973266601562
22,189.76951599121094,186.32252502441406
23,189.01734924316406,185.65011596679688
24,188.34042358398438,185.04432678222656
25,187.7305450439453,184.49807739257812
26,187.18051147460938,184.00502014160156
27,186.6840362548828,183.5596466064453
28,186.2355499267578,183.15704345703125
29,185.83013916015625,182.79287719726562
30,185.46337890625,182.46334838867188
31,185.13148498535156,182.1649169921875
32,184.83090209960938,181.8946075439453
33,184.55865478515625,181.64962768554688
34,184.31190490722656,181.4276123046875
35,184.0882568359375,181.2262725830078
36,183.8854522705078,181.04367065429688
37,183.7014923095703,180.87802124023438
38,183.53463745117188,180.7277374267578
39,183.38323974609375,180.5913543701172
40,183.24583435058594,180.4675750732422
41,183.12112426757812,180.35523986816406
42,183.0079803466797,180.2532958984375
43,182.90524291992188,180.1607208251953
44,182.81199645996094,180.0767364501953
45,182.72735595703125,180.0004425048828
46,182.6505126953125,179.93118286132812
47,182.58071899414062,179.8683624267578
48,182.51742553710938,179.81129455566406
49,182.45994567871094,179.75950622558594
50,182.40777587890625,179.71250915527344
51,182.3603973388672,179.66983032226562
52,182.31741333007812,179.631103515625
53,182.27838134765625,179.59596252441406
54,182.2429656982422,179.56405639648438
55,182.21083068847656,179.53512573242188
56,182.18165588378906,179.50885009765625
57,182.1551971435547,179.4850311279297
58,182.1311798095703,179.46339416503906
59,182.10939025878906,179.44378662109375
60,182.0896453857422,179.42599487304688
61,182.0717315673828,179.40988159179688
62,182.05545043945312,179.3952178955078
63,182.04071044921875,179.3819580078125
64,182.02732849121094,179.3699188232422
65,182.0152130126953,179.3590087890625
66,182.00421142578125,179.34912109375
67,181.99423217773438,179.34014892578125
68,181.98519897460938,179.33200073242188
69,181.97698974609375,179.32464599609375
70,181.96957397460938,179.31796264648438
71,181.9628448486328,179.31190490722656
72,181.95675659179688,179.30641174316406
73,181.95118713378906,179.30142211914062
74,181.94618225097656,179.29690551757812
75,181.94166564941406,179.29283142089844
76,181.9375457763672,179.28915405273438
77,181.93380737304688,179.28579711914062
78,181.930419921875,179.2827606201172
79,181.9273681640625,179.28001403808594
80,181.9246063232422,179.2775115966797
81,181.92210388183594,179.27525329589844
82,181.91981506347656,179.27320861816406
83,181.91773986816406,179.2713623046875
84,181.9158935546875,179.2696990966797
85,181.91419982910156,179.2681884765625
86,181.9126739501953,179.26681518554688
87,181.91128540039062,179.26556396484375
88,181.9100341796875,179.26441955566406
89,181.90890502929688,179.263427734375
90,181.9078826904297,179.2624969482422
91,181.90696716308594,179.2616729736328
92,181.9061279296875,179.26092529296875
93,181.90536499023438,179.2602081298828
94,181.90467834472656,179.25961303710938
95,181.90403747558594,179.259033203125
96,181.9034881591797,179.258544921875
97,181.90298461914062,179.25807189941406
98,181.9025115966797,179.25767517089844
99,181.90208435058594,179.25729370117188
100,181.90171813964844,179.25697326660156
101,181.9013671875,179.25665283203125
102,181.9010772705078,179.25636291503906
